Flight Number,Departure Date,Departure Time,Arrival Date,Arrival Time,Origin Airport,Destination Airport,Airline,Status,Passenger Name,Passenger Email,Baggage Tag Number,Baggage Status
FL8192,2023-11-07,20:53,2023-12-11,21:30,QLZ,ZSY,"Wilson, Fisher and Walker",On Time,Sharon Oneill,lsmith@example.net,BG7342,Delivered
FL4574,2023-09-11,04:56,2023-12-28,13:04,FUL,GWW,Maldonado-Gonzales,On Time,Ethan Henson,fadams@example.net,BG6862,Loaded
FL2975,2023-12-14,08:19,2023-12-17,14:09,KBL,HZE,"Garcia, Lopez and Thomas",On Time,Alexandra Brown,debra24@example.net,BG1418,Checked-in
FL3649,2023-08-07,15:59,2023-09-09,22:11,IIT,TKN,Walker LLC,On Time,Kendra Green,vmorrison@example.org,BG6241,Loaded
FL5348,2023-01-28,00:09,2023-03-17,13:25,WHJ,KTO,Cameron-Martinez,On Time,Annette Cruz,wesley52@example.com,BG8114,Unloaded
FL5752,2023-02-09,01:56,2023-07-08,10:51,TRF,YQS,Marshall Inc,On Time,Craig Salinas,ramirezmackenzie@example.com,BG5594,Unloaded
FL1927,2023-02-24,06:41,2023-07-17,19:12,BXG,VKW,Gentry-Fox,On Time,Nancy Lawrence,ppalmer@example.net,BG1172,Checked-in
FL2117,2023-12-14,03:08,2023-12-29,20:15,EIM,FBE,Ballard-Morgan,On Time,Aaron Barber,dustin50@example.com,BG0994,Delivered
FL8253,2023-01-15,19:14,2023-09-15,04:20,BZO,SLO,Parker Inc,Delayed,Melinda Carter,daniel38@example.org,BG4334,Delivered
FL4845,2023-10-17,22:40,2023-12-28,13:27,AXP,VJH,"Bird, Montes and Shepherd",On Time,Robin Smith,ehogan@example.com,BG4468,Unloaded
FL3550,2023-03-10,02:04,2023-10-09,03:59,FFF,NBS,"Nelson, Green and Walker",On Time,Tyler Robertson,curryjohn@example.net,BG9290,Checked-in
FL1619,2023-02-06,07:11,2023-05-15,23:21,KFP,ART,"Randall, Day and Lewis",On Time,Belinda Johnson,tmclaughlin@example.com,BG0571,Delivered
FL8603,2023-11-10,02:27,2023-12-22,18:17,NPD,INX,Stone-Frye,On Time,Shawn Kelly,wrighttony@example.net,BG0235,Delivered
FL6737,2023-06-09,07:02,2023-08-28,14:16,VIG,SDE,"Macdonald, Martin and Hamilton",Cancelled,Nicole Blake,patricia87@example.net,BG3891,Checked-in
FL5504,2023-04-12,12:30,2023-10-04,06:55,BNV,NUQ,"Baker, Martinez and Hardy",Delayed,Autumn Bryant,franksmith@example.net,BG8125,Loaded
FL0190,2023-01-08,20:45,2023-06-18,17:46,NAE,JOG,Robinson Group,On Time,Joshua Parker,torresmichael@example.org,BG4140,Delivered
FL0078,2023-11-14,15:39,2023-12-14,18:11,VGJ,QSU,Odom Group,On Time,Caroline Velasquez,stanleymatthews@example.net,BG8887,Unloaded
FL2657,2023-03-26,02:36,2023-08-23,21:04,YIV,LDX,"Carey, Williams and Higgins",On Time,John Payne,melissafisher@example.org,BG5961,Loaded
FL0391,2023-01-24,18:29,2023-09-28,18:19,YAC,GML,Guzman LLC,On Time,Donald Jackson,dawnpreston@example.com,BG3440,Unloaded
FL3741,2023-07-12,15:34,2023-11-13,05:20,TMN,BQH,Thompson Group,On Time,Kevin Rosario,benjamin28@example.net,BG1378,Delivered
FL6281,2023-11-27,20:17,2023-12-12,17:56,AFV,THS,Abbott PLC,Delayed,Charles Love,leonard25@example.com,BG2313,Loaded
FL3784,2023-03-09,01:38,2023-10-17,18:04,YOZ,QDU,Williams-Foster,On Time,Debra Lee,pauljohnson@example.net,BG4705,Delivered
FL4243,2023-02-19,17:09,2023-11-30,17:06,LMH,BST,"Avila, Duarte and Freeman",Delayed,Alexander Martinez,miguelbyrd@example.org,BG7510,Delivered
FL7148,2023-03-29,16:10,2023-06-22,06:44,GDE,JIS,"Rose, Jennings and Mcclain",On Time,Jennifer Campbell,webernicholas@example.net,BG4708,Loaded
FL9265,2023-08-28,11:04,2023-11-12,04:53,QPB,XZJ,"Horne, Thompson and Ross",Cancelled,Monica Flores,karina04@example.org,BG7032,Delivered
FL3506,2023-01-05,06:17,2023-07-30,10:33,KCM,PDJ,Murphy-Douglas,Delayed,Angela Campbell,juancarter@example.org,BG6047,Unloaded
FL3726,2023-05-24,09:10,2023-09-22,23:07,QDW,WDV,Williams PLC,On Time,Antonio Miller,dana02@example.org,BG8916,Delivered
FL6044,2023-04-17,03:53,2023-07-21,11:18,SPK,FUY,Daniels and Sons,On Time,Priscilla Smith,jason32@example.org,BG0210,Checked-in
FL0175,2023-02-06,05:07,2023-11-25,22:16,ZYD,NBF,Harvey-Powers,On Time,Kevin Smith,holly28@example.net,BG0066,Loaded
FL7691,2023-12-28,01:50,2023-12-29,07:08,ZIV,FTI,Johnson-Lynch,Cancelled,Mr. Daniel Foster DDS,clewis@example.net,BG2418,Delivered
FL5928,2023-11-14,04:56,2023-11-16,18:45,MAK,QAN,Wilkerson-Gomez,Delayed,Catherine Holloway,fowlerallen@example.org,BG1578,Unloaded
FL5892,2023-02-03,05:32,2023-12-25,20:45,LVP,JNO,"Graham, Alvarado and Stone",On Time,Mark Evans,lance29@example.net,BG6857,Delivered
FL0808,2023-06-25,23:49,2023-07-10,04:15,UBP,DUT,Richard LLC,On Time,Lauren Lee,jaclyn13@example.net,BG4007,Checked-in
FL0452,2023-04-18,04:29,2023-05-30,05:29,WBJ,AYH,Jacobs-Payne,On Time,Ashley Cooper,rickeybarber@example.org,BG3197,Unloaded
FL1881,2023-03-05,03:10,2023-03-21,01:04,GTR,TIW,"Mckenzie, Rosales and Hale",Delayed,Rebecca Hoffman,alyssa32@example.com,BG7962,Delivered
FL3680,2023-10-03,06:22,2023-10-13,12:39,BXJ,VLQ,"Collins, Fitzpatrick and Garcia",On Time,Zachary Clark,diana42@example.net,BG7075,Delivered
FL2541,2023-01-15,02:55,2023-06-08,04:46,JAG,KYX,"Smith, Bradford and Stanley",Cancelled,Michael Gordon,david03@example.net,BG2938,Delivered
FL8708,2023-01-23,22:08,2023-11-15,01:32,TES,MYG,"Li, Caldwell and Delgado",Delayed,William Lee,iclements@example.org,BG5473,Delivered
FL6243,2023-04-15,06:32,2023-11-07,16:14,KOZ,WHW,Reid PLC,Delayed,Patricia Irwin,conniebarton@example.com,BG8383,Checked-in
FL3114,2023-03-12,22:02,2023-08-21,00:12,SZL,QYN,"Harmon, Johnson and Dunlap",On Time,Barbara Dominguez,teresaflores@example.net,BG6455,Checked-in
FL3279,2023-12-13,19:15,2023-12-19,17:50,GVE,LFE,Lane-Diaz,On Time,Erica Dominguez,randy45@example.net,BG6961,Checked-in
FL3677,2023-04-05,01:44,2023-09-23,03:44,HBV,OYN,Hickman and Sons,Delayed,Todd Ward,henrylewis@example.com,BG4397,Checked-in
FL9919,2023-08-24,12:47,2023-09-15,21:49,SIO,RPA,"English, Wright and Ford",Cancelled,Stephanie Woods,collinsrobert@example.net,BG4976,Delivered
FL4214,2023-05-04,22:40,2023-09-11,14:50,WMH,TGN,Vasquez and Sons,On Time,Christina Fowler,sara28@example.net,BG0812,Checked-in
FL2586,2023-05-22,15:41,2023-11-18,00:34,CXB,RXO,"Spence, Smith and Rodriguez",On Time,Audrey Mora,kmitchell@example.org,BG8100,Loaded
FL9118,2023-03-17,11:22,2023-08-01,17:01,GJP,FEJ,Buchanan Inc,On Time,Jon Smith,stephanie28@example.net,BG5500,Checked-in
FL2926,2023-10-02,09:02,2023-12-10,12:42,HKQ,JWY,"Weber, Baker and Wells",On Time,Kimberly Mccarthy,ucarr@example.net,BG4306,Loaded
FL7877,2023-05-19,07:22,2023-06-15,01:58,ZAE,UTD,"Turner, Pitts and Taylor",On Time,Phillip Estrada,lmeyer@example.net,BG0605,Delivered
FL2843,2023-05-04,10:48,2023-08-26,19:05,SIM,DII,Hood-French,Delayed,Jason Martinez,ljoseph@example.org,BG4695,Loaded
FL8639,2023-04-01,19:40,2023-10-15,05:54,BAL,KCN,Jones and Sons,Delayed,Jamie Sanders,ruizmichael@example.net,BG7522,Loaded
FL5681,2023-07-30,03:30,2023-12-16,20:56,WKO,LFS,Stone Group,On Time,Jennifer Smith,ipoole@example.org,BG3804,Checked-in
